row_id,id,subject,cached_question_tag_list
0,1416971,Anyone receive an acceptep from IRS 2011 tax year?,electronic filing
1,1538913,"Can everyone please post Time and Date- Filed, Accepted/Rejected, Date of Pay, ANY States POST Which States Please!",electronic filing
3,1691823,has anyone else received letter 4883c from irs?? if so how long did if take to get your money afterward??,irs
6,1282342,Claim as dependant,dependents
7,1434355,Anybody else still have March 1st?,electronic filing
8,1286252,Form 5405- First-Time Homebuyer Credit Repayment Amount cannot exceed the amount of First-Time Homebuyer Credit Received,electronic filing
11,1701073,FRUSTRATED 8863,irs
12,1438791,can the e-filing pin be sent to email,electronic filing
13,1271376,I signed in for the free edition for federal filing and its still trying to charge me for the deluxe. can i not change it back to the free edition?,electronic filing
16,1206139,"Can I claim someone who has lived with me for a year and only made 1000 dollars? If so, where do I do that?",dependents
17,1157490,Now it is 2/15 has anyone had their return accepted by the IRS that itemized deductions and had to wait for the magical 2/14 date?  Does anyone have any new info?  I cannot even tell if my return has been sent to the IRS?  I am pissed off!,electronic filing
18,1258289,"I rolled over a 401k into a traditional IRA. I answered NO when asked if this rolled into a Roth IRA but after the summary screen, I got a screen saying I converted a retirement plan to a Roth IRA and asking to split income or not.. Software glitch?",retirement
20,1166908,I check the irs website and it says that i will get my refund on 2/1/2011 but Turbotax says by 1/28. Has anyone got the same thing,electronic filing
21,1741594,Has anyone who has gotten the IRS 4883C letter and verified already received their refund?,irs
23,1383555,"For those of you that ITEMIZED, but went ahead and submitted to TurboTax, and had to wait until the 2/14 IRS acceptance date:  Can we start a thread showing when your status changed?",electronic filing
24,1705610,"I haven't received my federal income tax refund yet and turbotax said i would get it before february 20th. I had educational credits, but i got an e-mail saying they started processing those on the 14th. why do i still not have my refund?",credits
26,1687551,2/14 (or later) Acceptance w/ 8863,credits
27,1378825,if i file on the 14th when should i get my money,electronic filing
28,1383549,Why doesn't the Basic Turbotax program let a Single or Head of Household (filing status) claim the EIC without having the qualifying child be a dependent?,credits
29,1696481,Form 8863 question,irs
31,1706466,8863 :( can i have positive news from others who have received their DDD,dependents
