company_id,num_employees,amount_in,amount_out,transactions_in,transactions_out,num_customers,num_vendors,has_intuit_payments
60906798,4.0,3253.9,3258.6,0.5,6.3,0.3,0.2,0
54195360,6.6,25887.0,19166.2,24.4,116.2,17.5,63.9,1
53701216,,1815.5,0.0,1.2,0.0,1.1,0.0,0
54216960,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
54800601,8.0,0.0,2608.4,0.0,1.7,0.0,1.2,1
52728985,11.9,64152.3,38528.3,31.4,100.6,26.6,64.6,1
61031360,1.0,2104.7,2398.8,11.3,21.5,10.2,15.3,0
61259675,6.0,8087.6,94.4,2.8,3.0,1.7,2.0,0
62581616,2.3,926040.2,755717.1,145.6,26.3,137.5,18.1,1
62711578,,14728.5,7451.0,64.3,21.0,41.8,10.7,0
63030254,7.8,74317.0,54677.0,14.3,45.8,8.5,28.4,1
63278946,18.0,91582.1,94800.6,31.5,23.7,24.5,18.1,0
63770930,107.1,105368.9,23845.6,41.6,91.8,30.0,47.3,0
63997733,3.0,0.0,19.3,0.0,0.9,0.0,0.9,0
64111711,,17346.7,18136.0,2.2,7.9,1.0,7.3,0
65084158,130.7,89819.4,61607.4,91.8,67.5,3.7,23.0,0
65284609,,166925.6,144531.5,5.7,13.2,1.0,8.8,0
66834001,,21973.4,46.6,3.0,1.0,1.5,1.0,0
69335247,3.0,449.9,526.4,1.2,2.4,0.2,2.0,0
69521226,8.0,1763442.3,1588043.1,55.3,196.5,31.8,119.4,0
69970728,27.0,179022.5,181687.3,45.8,143.8,2.0,77.6,0
70945335,1.0,3012.4,1761.8,3.0,9.8,1.2,7.9,0
71319453,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0
71448119,3.0,64149.0,52133.6,50.7,62.4,0.0,9.1,0
71644034,1.0,82582.7,0.0,142.1,0.0,94.3,0.0,0
71720787,17.3,94841.7,98687.7,6.5,24.4,5.2,7.8,0
71851397,33.0,575149.8,240268.3,301.7,188.7,18.1,105.8,0
72134649,,9399.8,0.0,22.9,0.0,15.5,0.0,0
72387013,26.1,49227.6,25443.4,72.3,86.5,45.8,51.0,0
72528639,4.0,28729.6,28224.8,11.7,56.0,9.4,32.5,0
72855380,2.0,304.3,0.0,0.4,0.0,0.4,0.0,0
73106232,216.2,100409.0,88544.9,20.8,57.8,2.3,31.8,0
73260027,1.0,473672.7,709422.3,11.6,48.3,1.6,35.4,0
73347796,2.0,101167.0,44015.6,27.1,80.5,13.1,44.8,1
73441397,,9224.3,4234.0,24.8,6.5,22.6,5.2,0
73573087,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73646889,,25059.9,42439.3,22.8,12.0,19.8,4.1,0
73673673,66.0,1822.3,0.0,1.1,0.0,1.1,0.0,0
73686849,127.9,31338.1,76903.0,34.8,120.6,0.0,61.6,0
73803419,4.0,34261.8,41483.7,7.7,26.5,3.8,16.8,0
74206265,9.4,85266.2,71851.9,12.2,59.2,1.9,42.0,1
74206481,1.0,7475.1,13411.1,5.0,20.8,1.7,14.5,0
74206697,2.0,6374.2,4149.0,19.3,30.8,9.0,14.2,0
75001157,,212.0,8.6,0.4,0.2,0.3,0.0,0
75375707,,0.0,49342.4,0.0,2.5,0.0,2.3,0
75706984,7.0,52885.2,84646.9,36.0,45.0,1.1,18.4,0
78611940,300.4,56643.9,70436.1,52.2,165.4,2.0,40.3,0
78612156,6.0,19254.7,19748.8,9.8,76.9,5.4,45.8,0
79150653,22.3,88709.1,70157.4,25.9,135.8,10.3,48.8,0
79590867,,6402.3,20410.8,1.2,78.2,0.0,1.1,0
79971249,32.5,1496.8,1658.6,1.3,2.0,0.0,0.8,0
80249101,1.0,10879.6,0.0,19.9,0.0,17.3,0.0,0
80249317,,41908.2,21318.5,10.4,17.8,2.8,10.7,0
80367399,94.8,88503.5,36594.7,176.8,60.4,87.5,37.4,0
81178707,,28.1,14.3,0.4,0.4,0.4,0.4,0
81348054,13.8,1376.6,1916.2,2.8,10.1,0.6,3.4,0
81598906,35.8,43699.9,44254.8,136.3,124.7,0.4,50.6,0
82905870,,43306.7,21779.2,6.6,38.1,0.0,31.4,0
82957351,14.8,82378.7,45051.9,101.0,53.2,69.4,28.8,0
83031728,,3680.9,339.0,0.9,2.0,0.0,0.7,0
83046200,,20432.1,16974.7,2.5,18.3,1.8,12.6,0
83559352,,51635.7,54366.4,35.8,101.9,0.0,21.4,0
83573824,,9141.4,29120.7,2.4,38.3,0.0,31.8,0
83852756,18.0,341.3,2119.7,0.1,2.5,0.0,2.0,0
83853620,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0
83972998,3.0,17912.3,17942.0,4.2,30.3,3.3,20.5,0
84123480,6.1,72748.4,87273.9,11.6,90.3,3.9,50.0,0
84356836,,25571.0,19161.3,6.3,13.6,0.0,11.8,0
84437045,8.0,52398.5,49249.4,32.3,31.9,0.0,16.3,1
84505374,,17467.0,17726.6,2.0,3.0,0.3,1.7,0
84520926,2.5,35069.5,32918.3,50.3,35.8,31.4,22.5,1
84534391,,19993.7,18838.2,13.8,101.8,8.2,64.1,0
84627560,7.5,43809.1,0.0,6.2,0.0,4.2,0.0,1
84644192,62.8,190179.4,190253.1,65.5,241.6,0.0,123.6,0
84821747,1.0,817.2,0.0,2.2,0.0,1.9,0.0,0
84926869,113.0,319309.3,173050.4,117.3,287.0,0.0,54.2,0
85367731,25.6,68334.3,38370.9,123.2,114.6,0.8,59.3,0
85405604,,2709.8,1923.5,0.6,1.2,0.0,1.2,0
85432388,3.0,6855.4,3159.2,6.6,28.9,2.3,18.8,1
85497477,11.0,45642.1,47437.1,14.6,103.3,0.0,44.6,0
85560838,,5410.6,3145.9,18.6,9.3,14.8,7.3,0
85661208,,6555.6,7721.5,11.8,14.8,0.0,8.4,0
85797866,,19737.1,24858.6,5.8,26.9,0.0,17.4,0
85968077,,0.0,0.0,0.0,0.0,0.0,0.0,0
86020133,,0.0,0.0,0.0,0.0,0.0,0.0,0
86088462,1.0,39332.2,41718.1,10.3,32.8,0.7,26.3,0
86113591,8.0,101703.7,97930.6,8.1,109.8,3.9,47.1,1
86277249,2.0,0.0,263.1,0.0,1.1,0.0,0.8,0
86310802,,57.7,0.0,0.1,0.0,0.0,0.0,0
86311018,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1
86428668,16.0,127911.5,131590.4,21.5,40.8,8.9,23.6,0
86468844,14.0,17449.1,16253.3,7.7,28.0,0.3,23.2,1
86539549,46.7,167964.1,84481.3,562.4,121.4,1.0,25.5,0
86629767,5.0,99217.1,37234.4,30.1,57.0,12.2,30.5,1
86715808,10.0,72381.5,199170.1,22.0,161.2,5.8,86.8,0
86845338,11.0,28062.2,18003.4,5.9,22.8,4.8,13.8,0
86914963,1.0,11023.5,13435.6,7.4,28.8,3.3,14.5,0
87923914,,10847.5,9794.7,10.7,17.5,6.6,14.8,0
88077277,3.0,136260.7,75987.9,109.0,143.8,66.8,28.0,0
88697206,2.0,24657.4,10899.3,88.4,65.2,60.0,33.5,0
89563883,2.0,38280.4,30699.8,10.6,30.6,0.0,21.8,0
89858224,,286981.1,145979.2,20.5,66.5,11.2,40.8,0
90344303,,69847.5,0.0,23.9,0.0,21.3,0.0,0
90649228,20.8,7179.3,599772.9,0.8,336.6,0.0,48.9,0
91127315,4.0,2383.6,7377.1,0.4,17.2,0.0,6.2,1
